Пн 2017-01-02 00:00	79605554444	Сатурн	Краснодар	Анапа	0	0	1
Пн 2017-01-02 00:00	79605557777	Максим	Волгоград	Волгоградская область	0	0	1
Пн 2017-01-02 00:00	79605556666	Зебра	Пермь	Пермский край	0	0	3
Пн 2017-01-02 00:00	79605558888	Зебра	Пермь	-99	0	0	1
Пн 2017-01-02 00:00	79605559999	Максим	Волгоград	Волгоградская область	0	0	1
Пн 2017-01-02 00:00	79605557777	Сатурн	Волгоград	Волгоградская область	0	0	1
Пн 2017-01-02 00:00	79105555555	Максим + Поехали	-99	Сочи	1	0	1
Пн 2017-01-02 00:00	79105558888	Максим + Поехали	-99	-99	1	0	1
Пн 2017-01-02 00:00	79005558888	Uber	-99	-99	1	0	1
Пн 2017-01-02 00:00	79005556666	Uber	-99	Московская область	1	1	1
Пн 2017-01-02 00:00	79005555555	Максим	-99	Сочи	1	0	1
Пн 2017-01-02 00:00	79105556666	Uber	-99	Московская область	1	1	1
Пн 2017-01-02 00:00	79005553333	Рутакси	-99	Хабаровский край	1	0	1
Пн 2017-01-02 00:00	79105551111	Gett	-99	Воронежская область	1	1	1
Пн 2017-01-02 00:00	79105553333	Рутакси + Минимум	-99	Хабаровский край	1	0	1
Пн 2017-01-02 00:00	79005551111	Gett	-99	Воронежская область	1	1	1
